Id,SampleInt,SampleDecimal,SampleString,SampleBool
189,188,0.188,188,1
190,189,0.189,189,0
191,190,0.190,190,1
192,191,0.191,191,0
193,192,0.192,192,1
194,193,0.193,193,0
195,194,0.194,194,1
196,195,0.195,195,0
197,196,0.196,196,1
198,197,0.197,197,0
199,198,0.198,198,1
200,199,0.199,199,0
201,200,0.200,200,1
202,201,0.201,201,0
203,202,0.202,202,1
204,203,0.203,203,0
205,204,0.204,204,1
206,205,0.205,205,0
207,206,0.206,206,1
208,207,0.207,207,0
209,208,0.208,208,1
210,209,0.209,209,0
211,210,0.210,210,1
212,211,0.211,211,0
213,212,0.212,212,1
214,213,0.213,213,0
215,214,0.214,214,1
216,215,0.215,215,0
217,216,0.216,216,1
218,217,0.217,217,0
219,218,0.218,218,1
220,219,0.219,219,0
221,220,0.220,220,1
222,221,0.221,221,0
223,222,0.222,222,1
224,223,0.223,223,0
225,224,0.224,224,1
226,225,0.225,225,0
227,226,0.226,226,1
228,227,0.227,227,0
229,228,0.228,228,1
230,229,0.229,229,0
231,230,0.230,230,1
232,231,0.231,231,0
233,232,0.232,232,1
234,233,0.233,233,0
235,234,0.234,234,1
236,235,0.235,235,0
237,236,0.236,236,1
238,237,0.237,237,0
239,238,0.238,238,1
240,239,0.239,239,0
241,240,0.240,240,1
242,241,0.241,241,0
243,242,0.242,242,1
244,243,0.243,243,0
245,244,0.244,244,1
246,245,0.245,245,0
247,246,0.246,246,1
248,247,0.247,247,0
249,248,0.248,248,1
250,249,0.249,249,0
251,250,0.250,250,1
252,251,0.251,251,0
253,252,0.252,252,1
254,253,0.253,253,0
255,254,0.254,254,1
256,255,0.255,255,0
257,256,0.256,256,1
258,257,0.257,257,0
259,258,0.258,258,1
260,259,0.259,259,0
261,260,0.260,260,1
262,261,0.261,261,0
263,262,0.262,262,1
264,263,0.263,263,0
265,264,0.264,264,1
266,265,0.265,265,0
267,266,0.266,266,1
268,267,0.267,267,0
269,268,0.268,268,1
270,269,0.269,269,0
271,270,0.270,270,1
272,271,0.271,271,0
273,272,0.272,272,1
274,273,0.273,273,0
275,274,0.274,274,1
276,275,0.275,275,0
277,276,0.276,276,1
278,277,0.277,277,0
279,278,0.278,278,1
280,279,0.279,279,0
281,280,0.280,280,1
282,281,0.281,281,0
283,282,0.282,282,1
284,283,0.283,283,0
285,284,0.284,284,1
286,285,0.285,285,0
287,286,0.286,286,1
288,287,0.287,287,0
289,288,0.288,288,1
290,289,0.289,289,0
291,290,0.290,290,1
292,291,0.291,291,0
293,292,0.292,292,1
294,293,0.293,293,0
295,294,0.294,294,1
296,295,0.295,295,0
297,296,0.296,296,1
298,297,0.297,297,0
299,298,0.298,298,1
300,299,0.299,299,0
301,300,0.300,300,1
302,301,0.301,301,0
303,302,0.302,302,1
304,303,0.303,303,0
305,304,0.304,304,1
306,305,0.305,305,0
307,306,0.306,306,1
308,307,0.307,307,0
309,308,0.308,308,1
310,309,0.309,309,0
311,310,0.310,310,1
312,311,0.311,311,0
313,312,0.312,312,1
314,313,0.313,313,0
315,314,0.314,314,1
316,315,0.315,315,0
317,316,0.316,316,1
318,317,0.317,317,0
319,318,0.318,318,1
320,319,0.319,319,0
321,320,0.320,320,1
322,321,0.321,321,0
323,322,0.322,322,1
324,323,0.323,323,0
325,324,0.324,324,1
326,325,0.325,325,0
327,326,0.326,326,1
328,327,0.327,327,0
329,328,0.328,328,1
330,329,0.329,329,0
331,330,0.330,330,1
332,331,0.331,331,0
333,332,0.332,332,1
334,333,0.333,333,0
335,334,0.334,334,1
336,335,0.335,335,0
337,336,0.336,336,1
338,337,0.337,337,0
339,338,0.338,338,1
340,339,0.339,339,0
341,340,0.340,340,1
342,341,0.341,341,0
343,342,0.342,342,1
344,343,0.343,343,0
345,344,0.344,344,1
346,345,0.345,345,0
347,346,0.346,346,1
348,347,0.347,347,0
349,348,0.348,348,1
350,349,0.349,349,0
351,350,0.350,350,1
352,351,0.351,351,0
353,352,0.352,352,1
354,353,0.353,353,0
355,354,0.354,354,1
356,355,0.355,355,0
357,356,0.356,356,1
358,357,0.357,357,0
359,358,0.358,358,1
360,359,0.359,359,0
361,360,0.360,360,1
362,361,0.361,361,0
363,362,0.362,362,1
364,363,0.363,363,0
365,364,0.364,364,1
366,365,0.365,365,0
367,366,0.366,366,1
368,367,0.367,367,0
369,368,0.368,368,1
370,369,0.369,369,0
371,370,0.370,370,1
372,371,0.371,371,0
373,372,0.372,372,1
374,373,0.373,373,0
375,374,0.374,374,1
376,375,0.375,375,0
377,376,0.376,376,1
378,377,0.377,377,0
379,378,0.378,378,1
380,379,0.379,379,0
381,380,0.380,380,1
382,381,0.381,381,0
383,382,0.382,382,1
384,383,0.383,383,0
385,384,0.384,384,1
386,385,0.385,385,0
387,386,0.386,386,1
388,387,0.387,387,0
389,388,0.388,388,1
390,389,0.389,389,0
391,390,0.390,390,1
392,391,0.391,391,0
393,392,0.392,392,1
394,393,0.393,393,0
395,394,0.394,394,1
396,395,0.395,395,0
397,396,0.396,396,1
398,397,0.397,397,0
399,398,0.398,398,1
400,399,0.399,399,0
401,400,0.400,400,1
402,401,0.401,401,0
403,402,0.402,402,1
404,403,0.403,403,0
405,404,0.404,404,1
406,405,0.405,405,0
407,406,0.406,406,1
408,407,0.407,407,0
409,408,0.408,408,1
410,409,0.409,409,0
411,410,0.410,410,1
412,411,0.411,411,0
413,412,0.412,412,1
414,413,0.413,413,0
415,414,0.414,414,1
416,415,0.415,415,0
417,416,0.416,416,1
418,417,0.417,417,0
419,418,0.418,418,1
420,419,0.419,419,0
421,420,0.420,420,1
422,421,0.421,421,0
423,422,0.422,422,1
424,423,0.423,423,0
425,424,0.424,424,1
426,425,0.425,425,0
427,426,0.426,426,1
428,427,0.427,427,0
429,428,0.428,428,1
430,429,0.429,429,0
431,430,0.430,430,1
432,431,0.431,431,0
433,432,0.432,432,1
434,433,0.433,433,0
435,434,0.434,434,1
436,435,0.435,435,0
437,436,0.436,436,1
438,437,0.437,437,0
439,438,0.438,438,1
440,439,0.439,439,0
441,440,0.440,440,1
442,441,0.441,441,0
443,442,0.442,442,1
444,443,0.443,443,0
445,444,0.444,444,1
446,445,0.445,445,0
447,446,0.446,446,1
448,447,0.447,447,0
449,448,0.448,448,1
450,449,0.449,449,0
451,450,0.450,450,1
452,451,0.451,451,0
453,452,0.452,452,1
454,453,0.453,453,0
455,454,0.454,454,1
456,455,0.455,455,0
457,456,0.456,456,1
458,457,0.457,457,0
459,458,0.458,458,1
460,459,0.459,459,0
461,460,0.460,460,1
462,461,0.461,461,0
463,462,0.462,462,1
464,463,0.463,463,0
465,464,0.464,464,1
466,465,0.465,465,0
467,466,0.466,466,1
468,467,0.467,467,0
469,468,0.468,468,1
470,469,0.469,469,0
471,470,0.470,470,1
472,471,0.471,471,0
473,472,0.472,472,1
474,473,0.473,473,0
475,474,0.474,474,1
476,475,0.475,475,0
477,476,0.476,476,1
478,477,0.477,477,0
479,478,0.478,478,1
480,479,0.479,479,0
481,480,0.480,480,1
482,481,0.481,481,0
483,482,0.482,482,1
484,483,0.483,483,0
485,484,0.484,484,1
486,485,0.485,485,0
487,486,0.486,486,1
488,487,0.487,487,0
489,488,0.488,488,1
490,489,0.489,489,0
491,490,0.490,490,1
492,491,0.491,491,0
493,492,0.492,492,1
494,493,0.493,493,0
495,494,0.494,494,1
496,495,0.495,495,0
497,496,0.496,496,1
498,497,0.497,497,0
499,498,0.498,498,1
500,499,0.499,499,0
501,500,0.500,500,1
502,501,0.501,501,0
503,502,0.502,502,1
504,503,0.503,503,0
505,504,0.504,504,1
506,505,0.505,505,0
507,506,0.506,506,1
508,507,0.507,507,0
509,508,0.508,508,1
510,509,0.509,509,0
511,510,0.510,510,1
512,511,0.511,511,0
513,512,0.512,512,1
514,513,0.513,513,0
515,514,0.514,514,1
516,515,0.515,515,0
517,516,0.516,516,1
518,517,0.517,517,0
519,518,0.518,518,1
520,519,0.519,519,0
521,520,0.520,520,1
522,521,0.521,521,0
523,522,0.522,522,1
524,523,0.523,523,0
525,524,0.524,524,1
526,525,0.525,525,0
527,526,0.526,526,1
528,527,0.527,527,0
529,528,0.528,528,1
530,529,0.529,529,0
531,530,0.530,530,1
532,531,0.531,531,0
533,532,0.532,532,1
534,533,0.533,533,0
535,534,0.534,534,1
536,535,0.535,535,0
537,536,0.536,536,1
538,537,0.537,537,0
539,538,0.538,538,1
540,539,0.539,539,0
541,540,0.540,540,1
542,541,0.541,541,0
543,542,0.542,542,1
544,543,0.543,543,0
545,544,0.544,544,1
546,545,0.545,545,0
547,546,0.546,546,1
548,547,0.547,547,0
549,548,0.548,548,1
550,549,0.549,549,0
551,550,0.550,550,1
552,551,0.551,551,0
553,552,0.552,552,1
554,553,0.553,553,0
555,554,0.554,554,1
556,555,0.555,555,0
557,556,0.556,556,1
558,557,0.557,557,0
559,558,0.558,558,1
560,559,0.559,559,0
561,560,0.560,560,1
562,561,0.561,561,0
563,562,0.562,562,1
564,563,0.563,563,0
565,564,0.564,564,1
566,565,0.565,565,0
567,566,0.566,566,1
568,567,0.567,567,0
569,568,0.568,568,1
570,569,0.569,569,0
571,570,0.570,570,1
572,571,0.571,571,0
573,572,0.572,572,1
574,573,0.573,573,0
575,574,0.574,574,1
576,575,0.575,575,0
577,576,0.576,576,1
578,577,0.577,577,0
579,578,0.578,578,1
580,579,0.579,579,0
581,580,0.580,580,1
582,581,0.581,581,0
583,582,0.582,582,1
584,583,0.583,583,0
585,584,0.584,584,1
586,585,0.585,585,0
587,586,0.586,586,1
588,587,0.587,587,0
589,588,0.588,588,1
590,589,0.589,589,0
591,590,0.590,590,1
592,591,0.591,591,0
593,592,0.592,592,1
594,593,0.593,593,0
595,594,0.594,594,1
596,595,0.595,595,0
597,596,0.596,596,1
598,597,0.597,597,0
599,598,0.598,598,1
600,599,0.599,599,0
601,600,0.600,600,1
602,601,0.601,601,0
603,602,0.602,602,1
604,603,0.603,603,0
605,604,0.604,604,1
606,605,0.605,605,0
607,606,0.606,606,1
608,607,0.607,607,0
609,608,0.608,608,1
610,609,0.609,609,0
611,610,0.610,610,1
612,611,0.611,611,0
613,612,0.612,612,1
614,613,0.613,613,0
615,614,0.614,614,1
616,615,0.615,615,0
617,616,0.616,616,1
618,617,0.617,617,0
619,618,0.618,618,1
620,619,0.619,619,0
621,620,0.620,620,1
622,621,0.621,621,0
623,622,0.622,622,1
624,623,0.623,623,0
625,624,0.624,624,1
626,625,0.625,625,0
627,626,0.626,626,1
628,627,0.627,627,0
629,628,0.628,628,1
630,629,0.629,629,0
631,630,0.630,630,1
632,631,0.631,631,0
633,632,0.632,632,1
634,633,0.633,633,0
635,634,0.634,634,1
636,635,0.635,635,0
637,636,0.636,636,1
638,637,0.637,637,0
639,638,0.638,638,1
640,639,0.639,639,0
641,640,0.640,640,1
642,641,0.641,641,0
643,642,0.642,642,1
644,643,0.643,643,0
645,644,0.644,644,1
646,645,0.645,645,0
647,646,0.646,646,1
648,647,0.647,647,0
649,648,0.648,648,1
650,649,0.649,649,0
651,650,0.650,650,1
652,651,0.651,651,0
653,652,0.652,652,1
654,653,0.653,653,0
655,654,0.654,654,1
656,655,0.655,655,0
657,656,0.656,656,1
658,657,0.657,657,0
659,658,0.658,658,1
660,659,0.659,659,0
661,660,0.660,660,1
662,661,0.661,661,0
663,662,0.662,662,1
664,663,0.663,663,0
665,664,0.664,664,1
666,665,0.665,665,0
667,666,0.666,666,1
668,667,0.667,667,0
669,668,0.668,668,1
670,669,0.669,669,0
671,670,0.670,670,1
672,671,0.671,671,0
673,672,0.672,672,1
674,673,0.673,673,0
675,674,0.674,674,1
676,675,0.675,675,0
677,676,0.676,676,1
678,677,0.677,677,0
679,678,0.678,678,1
680,679,0.679,679,0
681,680,0.680,680,1
682,681,0.681,681,0
683,682,0.682,682,1
684,683,0.683,683,0
685,684,0.684,684,1
686,685,0.685,685,0
687,686,0.686,686,1
688,687,0.687,687,0
689,688,0.688,688,1
690,689,0.689,689,0
691,690,0.690,690,1
692,691,0.691,691,0
693,692,0.692,692,1
694,693,0.693,693,0
695,694,0.694,694,1
696,695,0.695,695,0
697,696,0.696,696,1
698,697,0.697,697,0
699,698,0.698,698,1
700,699,0.699,699,0
701,700,0.700,700,1
702,701,0.701,701,0
703,702,0.702,702,1
704,703,0.703,703,0
705,704,0.704,704,1
706,705,0.705,705,0
707,706,0.706,706,1
708,707,0.707,707,0
709,708,0.708,708,1
710,709,0.709,709,0
711,710,0.710,710,1
712,711,0.711,711,0
713,712,0.712,712,1
714,713,0.713,713,0
715,714,0.714,714,1
716,715,0.715,715,0
717,716,0.716,716,1
718,717,0.717,717,0
719,718,0.718,718,1
720,719,0.719,719,0
721,720,0.720,720,1
722,721,0.721,721,0
723,722,0.722,722,1
724,723,0.723,723,0
725,724,0.724,724,1
726,725,0.725,725,0
727,726,0.726,726,1
728,727,0.727,727,0
729,728,0.728,728,1
730,729,0.729,729,0
731,730,0.730,730,1
732,731,0.731,731,0
733,732,0.732,732,1
734,733,0.733,733,0
735,734,0.734,734,1
736,735,0.735,735,0
737,736,0.736,736,1
738,737,0.737,737,0
739,738,0.738,738,1
740,739,0.739,739,0
741,740,0.740,740,1
742,741,0.741,741,0
743,742,0.742,742,1
744,743,0.743,743,0
745,744,0.744,744,1
746,745,0.745,745,0
747,746,0.746,746,1
748,747,0.747,747,0
749,748,0.748,748,1
750,749,0.749,749,0
751,750,0.750,750,1
752,751,0.751,751,0
753,752,0.752,752,1
754,753,0.753,753,0
755,754,0.754,754,1
756,755,0.755,755,0
757,756,0.756,756,1
758,757,0.757,757,0
759,758,0.758,758,1
760,759,0.759,759,0
761,760,0.760,760,1
762,761,0.761,761,0
763,762,0.762,762,1
764,763,0.763,763,0
765,764,0.764,764,1
766,765,0.765,765,0
767,766,0.766,766,1
768,767,0.767,767,0
769,768,0.768,768,1
770,769,0.769,769,0
771,770,0.770,770,1
772,771,0.771,771,0
773,772,0.772,772,1
774,773,0.773,773,0
775,774,0.774,774,1
776,775,0.775,775,0
777,776,0.776,776,1
778,777,0.777,777,0
779,778,0.778,778,1
780,779,0.779,779,0
781,780,0.780,780,1
782,781,0.781,781,0
783,782,0.782,782,1
784,783,0.783,783,0
785,784,0.784,784,1
786,785,0.785,785,0
787,786,0.786,786,1
788,787,0.787,787,0
789,788,0.788,788,1
790,789,0.789,789,0
791,790,0.790,790,1
792,791,0.791,791,0
793,792,0.792,792,1
794,793,0.793,793,0
795,794,0.794,794,1
796,795,0.795,795,0
797,796,0.796,796,1
798,797,0.797,797,0
799,798,0.798,798,1
800,799,0.799,799,0
801,800,0.800,800,1
802,801,0.801,801,0
803,802,0.802,802,1
804,803,0.803,803,0
805,804,0.804,804,1
806,805,0.805,805,0
807,806,0.806,806,1
808,807,0.807,807,0
809,808,0.808,808,1
810,809,0.809,809,0
811,810,0.810,810,1
812,811,0.811,811,0
813,812,0.812,812,1
814,813,0.813,813,0
815,814,0.814,814,1
816,815,0.815,815,0
817,816,0.816,816,1
818,817,0.817,817,0
819,818,0.818,818,1
820,819,0.819,819,0
821,820,0.820,820,1
822,821,0.821,821,0
823,822,0.822,822,1
824,823,0.823,823,0
825,824,0.824,824,1
826,825,0.825,825,0
827,826,0.826,826,1
828,827,0.827,827,0
829,828,0.828,828,1
830,829,0.829,829,0
831,830,0.830,830,1
832,831,0.831,831,0
833,832,0.832,832,1
834,833,0.833,833,0
835,834,0.834,834,1
836,835,0.835,835,0
837,836,0.836,836,1
838,837,0.837,837,0
839,838,0.838,838,1
840,839,0.839,839,0
841,840,0.840,840,1
842,841,0.841,841,0
843,842,0.842,842,1
844,843,0.843,843,0
845,844,0.844,844,1
846,845,0.845,845,0
847,846,0.846,846,1
848,847,0.847,847,0
849,848,0.848,848,1
850,849,0.849,849,0
851,850,0.850,850,1
852,851,0.851,851,0
853,852,0.852,852,1
854,853,0.853,853,0
855,854,0.854,854,1
856,855,0.855,855,0
857,856,0.856,856,1
858,857,0.857,857,0
859,858,0.858,858,1
860,859,0.859,859,0
861,860,0.860,860,1
862,861,0.861,861,0
863,862,0.862,862,1
864,863,0.863,863,0
865,864,0.864,864,1
866,865,0.865,865,0
867,866,0.866,866,1
868,867,0.867,867,0
869,868,0.868,868,1
870,869,0.869,869,0
871,870,0.870,870,1
872,871,0.871,871,0
873,872,0.872,872,1
874,873,0.873,873,0
875,874,0.874,874,1
876,875,0.875,875,0
877,876,0.876,876,1
878,877,0.877,877,0
879,878,0.878,878,1
880,879,0.879,879,0
881,880,0.880,880,1
882,881,0.881,881,0
883,882,0.882,882,1
884,883,0.883,883,0
885,884,0.884,884,1
886,885,0.885,885,0
887,886,0.886,886,1
888,887,0.887,887,0
889,888,0.888,888,1
890,889,0.889,889,0
891,890,0.890,890,1
892,891,0.891,891,0
893,892,0.892,892,1
894,893,0.893,893,0
895,894,0.894,894,1
896,895,0.895,895,0
897,896,0.896,896,1
898,897,0.897,897,0
899,898,0.898,898,1
900,899,0.899,899,0
901,900,0.900,900,1
902,901,0.901,901,0
903,902,0.902,902,1
904,903,0.903,903,0
905,904,0.904,904,1
906,905,0.905,905,0
907,906,0.906,906,1
908,907,0.907,907,0
909,908,0.908,908,1
910,909,0.909,909,0
911,910,0.910,910,1
912,911,0.911,911,0
913,912,0.912,912,1
914,913,0.913,913,0
915,914,0.914,914,1
916,915,0.915,915,0
917,916,0.916,916,1
918,917,0.917,917,0
919,918,0.918,918,1
920,919,0.919,919,0
921,920,0.920,920,1
922,921,0.921,921,0
923,922,0.922,922,1
924,923,0.923,923,0
925,924,0.924,924,1
926,925,0.925,925,0
927,926,0.926,926,1
928,927,0.927,927,0
929,928,0.928,928,1
930,929,0.929,929,0
931,930,0.930,930,1
932,931,0.931,931,0
933,932,0.932,932,1
934,933,0.933,933,0
935,934,0.934,934,1
936,935,0.935,935,0
937,936,0.936,936,1
938,937,0.937,937,0
939,938,0.938,938,1
940,939,0.939,939,0
941,940,0.940,940,1
942,941,0.941,941,0
943,942,0.942,942,1
944,943,0.943,943,0
945,944,0.944,944,1
946,945,0.945,945,0
947,946,0.946,946,1
948,947,0.947,947,0
949,948,0.948,948,1
950,949,0.949,949,0
951,950,0.950,950,1
952,951,0.951,951,0
953,952,0.952,952,1
954,953,0.953,953,0
955,954,0.954,954,1
956,955,0.955,955,0
957,956,0.956,956,1
958,957,0.957,957,0
959,958,0.958,958,1
960,959,0.959,959,0
961,960,0.960,960,1
962,961,0.961,961,0
963,962,0.962,962,1
964,963,0.963,963,0
965,964,0.964,964,1
966,965,0.965,965,0
967,966,0.966,966,1
968,967,0.967,967,0
969,968,0.968,968,1
970,969,0.969,969,0
971,970,0.970,970,1
972,971,0.971,971,0
973,972,0.972,972,1
974,973,0.973,973,0
975,974,0.974,974,1
976,975,0.975,975,0
977,976,0.976,976,1
978,977,0.977,977,0
979,978,0.978,978,1
980,979,0.979,979,0
981,980,0.980,980,1
982,981,0.981,981,0
983,982,0.982,982,1
984,983,0.983,983,0
985,984,0.984,984,1
986,985,0.985,985,0
987,986,0.986,986,1
988,987,0.987,987,0
989,988,0.988,988,1
990,989,0.989,989,0
991,990,0.990,990,1
992,991,0.991,991,0
993,992,0.992,992,1
994,993,0.993,993,0
995,994,0.994,994,1
996,995,0.995,995,0
997,996,0.996,996,1
998,997,0.997,997,0
999,998,0.998,998,1
1000,999,0.999,999,0
1001,1000,1.000,1000,1
1002,1001,1.001,1001,0
1003,1002,1.002,1002,1
1004,1003,1.003,1003,0
1005,1004,1.004,1004,1
1006,1005,1.005,1005,0
1007,1006,1.006,1006,1
1008,1007,1.007,1007,0
1009,1008,1.008,1008,1
1010,1009,1.009,1009,0
1011,1010,1.010,1010,1
1012,1011,1.011,1011,0
1013,1012,1.012,1012,1
1014,1013,1.013,1013,0
1015,1014,1.014,1014,1
1016,1015,1.015,1015,0
1017,1016,1.016,1016,1
1018,1017,1.017,1017,0
1019,1018,1.018,1018,1
1020,1019,1.019,1019,0
1021,1020,1.020,1020,1
1022,1021,1.021,1021,0
1023,1022,1.022,1022,1
1024,1023,1.023,1023,0
1025,1024,1.024,1024,1
1026,1025,1.025,1025,0
1027,1026,1.026,1026,1
1028,1027,1.027,1027,0
1029,1028,1.028,1028,1
1030,1029,1.029,1029,0
1031,1030,1.030,1030,1
1032,1031,1.031,1031,0
1033,1032,1.032,1032,1
1034,1033,1.033,1033,0
1035,1034,1.034,1034,1
1036,1035,1.035,1035,0
1037,1036,1.036,1036,1
1038,1037,1.037,1037,0
1039,1038,1.038,1038,1
1040,1039,1.039,1039,0
1041,1040,1.040,1040,1
1042,1041,1.041,1041,0
1043,1042,1.042,1042,1
1044,1043,1.043,1043,0
1045,1044,1.044,1044,1
1046,1045,1.045,1045,0
1047,1046,1.046,1046,1
1048,1047,1.047,1047,0
1049,1048,1.048,1048,1
1050,1049,1.049,1049,0
1051,1050,1.050,1050,1
1052,1051,1.051,1051,0
1053,1052,1.052,1052,1
1054,1053,1.053,1053,0
1055,1054,1.054,1054,1
1056,1055,1.055,1055,0
1057,1056,1.056,1056,1
1058,1057,1.057,1057,0
1059,1058,1.058,1058,1
1060,1059,1.059,1059,0
1061,1060,1.060,1060,1
1062,1061,1.061,1061,0
1063,1062,1.062,1062,1
1064,1063,1.063,1063,0
1065,1064,1.064,1064,1
1066,1065,1.065,1065,0
1067,1066,1.066,1066,1
1068,1067,1.067,1067,0
1069,1068,1.068,1068,1
1070,1069,1.069,1069,0
1071,1070,1.070,1070,1
1072,1071,1.071,1071,0
1073,1072,1.072,1072,1
1074,1073,1.073,1073,0
1075,1074,1.074,1074,1
1076,1075,1.075,1075,0
1077,1076,1.076,1076,1
1078,1077,1.077,1077,0
1079,1078,1.078,1078,1
1080,1079,1.079,1079,0
1081,1080,1.080,1080,1
1082,1081,1.081,1081,0
1083,1082,1.082,1082,1
1084,1083,1.083,1083,0
1085,1084,1.084,1084,1
1086,1085,1.085,1085,0
1087,1086,1.086,1086,1
1088,1087,1.087,1087,0
1089,1088,1.088,1088,1
1090,1089,1.089,1089,0
1091,1090,1.090,1090,1
1092,1091,1.091,1091,0
1093,1092,1.092,1092,1
1094,1093,1.093,1093,0
1095,1094,1.094,1094,1
1096,1095,1.095,1095,0
1097,1096,1.096,1096,1
1098,1097,1.097,1097,0
1099,1098,1.098,1098,1
1100,1099,1.099,1099,0
1101,1100,1.100,1100,1
1102,1101,1.101,1101,0
1103,1102,1.102,1102,1
1104,1103,1.103,1103,0
1105,1104,1.104,1104,1
1106,1105,1.105,1105,0
1107,1106,1.106,1106,1
1108,1107,1.107,1107,0
1109,1108,1.108,1108,1
1110,1109,1.109,1109,0
1111,1110,1.110,1110,1
1112,1111,1.111,1111,0
1113,1112,1.112,1112,1
1114,1113,1.113,1113,0
1115,1114,1.114,1114,1
1116,1115,1.115,1115,0
1117,1116,1.116,1116,1
1118,1117,1.117,1117,0
1119,1118,1.118,1118,1
1120,1119,1.119,1119,0
1121,1120,1.120,1120,1
1122,1121,1.121,1121,0
1123,1122,1.122,1122,1
1124,1123,1.123,1123,0
1125,1124,1.124,1124,1
1126,1125,1.125,1125,0
1127,1126,1.126,1126,1
1128,1127,1.127,1127,0
1129,1128,1.128,1128,1
